Username,Role,Team Name,Mapped 1,Mapped 2,Mapped 3,Mapped 4,Mapped 5,Field Check 1,Field Check 2,Field Check 3,Field Check 4,Field Check 5,Checked 1,Checked 2,Checked 3,Checked 4,Checked 5
SantanaL,L,BUILD Chicago,283,185,131,139,181,20,12,12,16,19,0,11,0,7,0
WilliamsM,P,BUILD Chicago,201,221,204,75,64,7,44,90,22,19,0,18,0,0,0
OliveK,D/S,BUILD Chicago,112,71,186,53,82,27,22,11,11,27,0,3,0,3,0
LanierA,P,Claretian Associates,252,243,181,235,141,8,88,5,7,3,0,35,3,35,73
OdeyaleR,L,Claretian Associates,320,190,135,138,38,6,13,3,19,1,0,0,51,27,9
CortezJ,D/S,Claretian Associates,345,142,145,56,53,15,23,1,4,0,0,23,33,58,36
WashingtonM,P,Claretian Associates,199,109,165,89,30,4,44,3,3,1,0,53,9,29,24
JonesJ,S,CNH-Altgeld,287,141,373,468,121,38,9,10,12,4,0,21,0,25,31
TuJul,P,CNH-Altgeld,206,196,298,168,115,21,58,19,20,4,1,57,0,0,8
ParkerK,D/L,CNH-Altgeld,59,121,153,84,0,2,45,10,8,0,0,25,0,3,2
RosenjeB,R,CNH-Altgeld,139,142,0,102,0,3,6,0,5,0,0,13,2,9,10
OsowaT,L,CNH-Bronzeville,246,277,211,126,149,12,63,0,5,19,0,0,0,0,7
RollinsD,D/S,CNH-Bronzeville,174,218,196,123,181,2,28,2,1,3,0,0,4,0,0
OkereS,P,CNH-Bronzeville,185,154,215,118,198,7,27,17,2,19,0,0,0,13,11
GipsonA,P,Dem2Fem,338,279,185,72,0,11,27,4,15,0,0,0,0,0,0
CollumM,D/S,Dem2Fem,232,289,155,53,92,1,37,2,13,7,0,0,0,0,0
GrabowskiN,L,Dem2Fem,271,133,96,63,143,8,53,12,2,22,0,0,0,0,7
D2F FC Team,,Dem2Fem,138,97,164,36,226,2,28,1,0,3,0,0,0,0,0
SanchezG,P,Enlace Chicago,611,205,181,198,262,19,31,16,15,13,0,0,0,12,17
PallaresA,D/L,Enlace Chicago,559,408,173,165,148,53,34,13,11,13,0,0,0,17,26
CalderonD,S,Enlace Chicago,592,281,226,183,149,31,68,10,19,17,0,0,0,9,15
HartmanM,S,GAGDC,346,231,156,196,169,5,9,2,2,0,0,0,0,14,0
LumumbaA,L,GAGDC,281,172,210,146,150,10,22,3,2,0,0,0,0,15,10
RobinsonC,P,GAGDC,218,110,121,186,224,19,3,4,0,0,0,0,0,5,18
HallK,D/P,GAGDC,220,115,167,82,245,7,7,4,1,2,0,0,0,0,17
TripathiA,L,HPNC,246,288,364,154,106,31,28,9,9,1,0,0,0,0,7
GhdeyY,S,HPNC,252,266,242,74,57,5,16,2,1,1,0,0,0,6,0
CaraballoG,P,HPNC,237,244,279,75,34,5,27,2,8,1,0,0,0,0,14
CiprianoG,S,NWDC,380,290,260,333,133,25,47,41,97,26,0,0,0,0,73
WrightA,L,NWDC,387,227,248,278,88,22,116,79,137,33,0,0,0,73,0
AlzamliA,D/P,NWDC,185,168,372,296,156,11,59,71,109,51,0,0,0,28,119
SingletonO,S,Sinai,273,321,193,135,176,21,80,5,4,8,0,49,0,0,18
SavageM,P,Sinai,216,240,91,140,154,5,52,7,9,12,0,30,0,0,14
OmarF,D/L,Sinai,158,204,143,37,69,7,4,3,2,2,0,10,0,0,0